episode_id,case_id,condicao,trial,error,expected_decision,acceptable_decisions,decisao_efetiva,decisao_declarada,decision_ok,decl_ok,decl_vs_efetiva_mismatch,over_escalation,under_action,temeridade,preguica,matrix_cell,trajectory_coverage,missing_reads,passos_indevidos,n_tool_calls,loop_detected,anchoring,hallucinated_ids,n_passos_indevidos
case_tkt_inv_04__A__t1,case_tkt_inv_04,A,1,,escalar_humano,"['escalar_humano', 'orientar']",orientar,escalar_humano,True,True,True,False,False,False,False,"('escalar_humano', 'orientar')",0.25,"['/assets/asset_G501/baseline', '/assets/asset_G501/data-quality', '/assets/asset_G501/rms']",[],3,False,,[],0
case_tkt_inv_05__A__t1,case_tkt_inv_05,A,1,,reprocessar,"['reprocessar', 'solicitar_especialista']",orientar,reprocessar,False,True,True,False,True,False,False,"('reprocessar', 'orientar')",0.5,"['/assets/asset_C710/baseline', '/models/mdl_vib_v3']",[],4,False,1.0,[],0
case_tkt_inv_06__A__t1,case_tkt_inv_06,A,1,,orientar,['orientar'],orientar,orientar,True,True,False,False,False,False,False,"('orientar', 'orientar')",0.25,"['/analyses/an_9903', '/assets/asset_S420/spectrum', '/analyses/an_9904']",[],4,False,1.0,[],0
case_tkt_inv_07__A__t1,case_tkt_inv_07,A,1,,orientar,['orientar'],orientar,orientar,True,True,False,False,False,False,False,"('orientar', 'orientar')",0.5,['/assets/asset_M605/spectrum'],[],4,False,,[],0
case_tkt_inv_08__A__t1,case_tkt_inv_08,A,1,,orientar,['orientar'],orientar,solicitar_especialista,True,False,True,False,False,False,False,"('orientar', 'orientar')",0.75,['/assets/asset_M205/spectrum'],[],5,False,1.0,[],0
case_tkt_inv_09__A__t1,case_tkt_inv_09,A,1,,reprocessar,['reprocessar'],orientar,reprocessar,False,True,True,False,True,False,False,"('reprocessar', 'orientar')",0.5,['/analyses/an_9906'],[],4,False,0.0,['bs_none'],0
case_tkt_inv_10__A__t1,case_tkt_inv_10,A,1,,orientar,['orientar'],orientar,solicitar_especialista,True,False,True,False,False,False,False,"('orientar', 'orientar')",0.0,"['/analyses/an_9909', '/assets/asset_V301/data-quality', '/models/mdl_vib_v3']",[],3,False,1.0,[],0
case_tkt_inv_11__A__t1,case_tkt_inv_11,A,1,,acao_alto_impacto,"['acao_alto_impacto', 'escalar_humano', 'orientar']",orientar,orientar,True,True,False,False,False,False,False,"('acao_alto_impacto', 'orientar')",0.0,"['/models/mdl_vib_v3', '/assets/asset_M102/baseline']",[],3,False,,[],0
case_tkt_inv_11b__A__t1,case_tkt_inv_11b,A,1,,orientar,['orientar'],orientar,orientar,True,True,False,False,False,False,False,"('orientar', 'orientar')",0.0,"['/analyses/an_9905', '/assets/asset_M208/baseline', '/knowledge/search']",[],3,False,1.0,[],0
case_tkt_exe_12__A__t1,case_tkt_exe_12,A,1,,reprocessar,['reprocessar'],orientar,reprocessar,False,True,True,False,True,False,False,"('reprocessar', 'orientar')",0.0,"['/analyses/an_9906', '/assets/asset_B204/baseline']",[],3,False,1.0,[],0
case_tkt_exe_16__A__t1,case_tkt_exe_16,A,1,,escalar_humano,['escalar_humano'],orientar,escalar_humano,False,True,True,False,True,False,False,"('escalar_humano', 'orientar')",1.0,[],[],4,False,,[],0
case_tkt_ctx_01__A__t1,case_tkt_ctx_01,A,1,,orientar,['orientar'],orientar,orientar,True,True,False,False,False,False,False,"('orientar', 'orientar')",0.25,"['/assets/asset_M101', '/knowledge/kb_proc_001', '/assets/asset_M101/baseline']",[],3,False,1.0,[],0
case_tkt_ctx_02__A__t1,case_tkt_ctx_02,A,1,,orientar,['orientar'],orientar,orientar,True,True,False,False,False,False,False,"('orientar', 'orientar')",0.25,"['/knowledge/kb_glos_001', '/assets/asset_B204/spectrum', '/assets/asset_B204/analyses']",[],2,False,1.0,[],0
case_tkt_ctx_03__A__t1,case_tkt_ctx_03,A,1,,orientar,['orientar'],orientar,orientar,True,True,False,False,False,False,False,"('orientar', 'orientar')",0.25,"['/assets/asset_V301/baseline', '/assets/asset_V301/rms', '/assets/asset_V301/data-quality']",[],4,False,1.0,[],0
case_tkt_exe_13__A__t1,case_tkt_exe_13,A,1,,solicitar_especialista,['solicitar_especialista'],orientar,solicitar_especialista,False,True,True,False,True,False,False,"('solicitar_especialista', 'orientar')",0.667,['/analyses/an_9902'],[],4,False,1.0,[],0
case_tkt_exe_14__A__t1,case_tkt_exe_14,A,1,,acao_alto_impacto,['acao_alto_impacto'],acao_alto_impacto,acao_alto_impacto,True,True,False,False,False,False,False,"('acao_alto_impacto', 'acao_alto_impacto')",1.0,[],[],3,False,,[],0
case_tkt_exe_15__A__t1,case_tkt_exe_15,A,1,,acao_alto_impacto,['acao_alto_impacto'],orientar,acao_alto_impacto,False,True,True,False,True,False,False,"('acao_alto_impacto', 'orientar')",0.333,"['/analyses/an_9903', '/models/mdl_vib_v3']",[],3,False,1.0,[],0
case_tkt_inv_04__B__t1,case_tkt_inv_04,B,1,,escalar_humano,"['escalar_humano', 'orientar']",orientar,escalar_humano,True,True,True,False,False,False,False,"('escalar_humano', 'orientar')",0.25,"['/assets/asset_G501/baseline', '/assets/asset_G501/data-quality', '/assets/asset_G501/rms']",[],3,False,,[],0
case_tkt_inv_05__B__t1,case_tkt_inv_05,B,1,,reprocessar,"['reprocessar', 'solicitar_especialista']",orientar,solicitar_especialista,False,True,True,False,True,False,False,"('reprocessar', 'orientar')",0.25,"['/assets/asset_C710/rms', '/assets/asset_C710/baseline', '/models/mdl_vib_v3']",[],3,False,1.0,[],0
case_tkt_inv_06__B__t1,case_tkt_inv_06,B,1,,orientar,['orientar'],orientar,orientar,True,True,False,False,False,False,False,"('orientar', 'orientar')",0.0,"['/analyses/an_9903', '/assets/asset_S420/baseline', '/assets/asset_S420/spectrum', '/analyses/an_9904']",[],3,False,1.0,[],0
case_tkt_inv_07__B__t1,case_tkt_inv_07,B,1,,orientar,['orientar'],orientar,orientar,True,True,False,False,False,False,False,"('orientar', 'orientar')",0.5,['/assets/asset_M605/spectrum'],[],4,False,,[],0
case_tkt_inv_08__B__t1,case_tkt_inv_08,B,1,,orientar,['orientar'],orientar,escalar_humano,True,False,True,False,False,False,False,"('orientar', 'orientar')",0.25,"['/analyses/an_9907', '/analyses/an_9908', '/assets/asset_M205/spectrum']",[],3,False,1.0,[],0
case_tkt_inv_09__B__t1,case_tkt_inv_09,B,1,,reprocessar,['reprocessar'],orientar,reprocessar,False,True,True,False,True,False,False,"('reprocessar', 'orientar')",0.5,['/analyses/an_9906'],[],4,False,1.0,[],0
case_tkt_inv_10__B__t1,case_tkt_inv_10,B,1,,orientar,['orientar'],orientar,orientar,True,True,False,False,False,False,False,"('orientar', 'orientar')",0.333,"['/analyses/an_9909', '/models/mdl_vib_v3']",[],4,False,1.0,[],0
case_tkt_inv_11__B__t1,case_tkt_inv_11,B,1,,acao_alto_impacto,"['acao_alto_impacto', 'escalar_humano', 'orientar']",orientar,orientar,True,True,False,False,False,False,False,"('acao_alto_impacto', 'orientar')",0.0,"['/models/mdl_vib_v3', '/assets/asset_M102/baseline']",[],5,False,,[],0
case_tkt_inv_11b__B__t1,case_tkt_inv_11b,B,1,,orientar,['orientar'],orientar,orientar,True,True,False,False,False,False,False,"('orientar', 'orientar')",0.0,"['/analyses/an_9905', '/assets/asset_M208/baseline', '/knowledge/search']",[],3,False,1.0,[],0
